rank,netrtg,adjt,luck,sos,sos_ooc,team,year
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
36,+19.33,69.4,-.007,+15.21,-2.61,Arkansas,2025
36,+19.33,69.4,-.007,+15.21,-2.61,Arkansas,2025
83,+9.15,62.9,+.025,+12.35,-5.97,Minnesota,2025
73,+11.03,68.9,-.027,+15.66,+8.13,Arizona St.,2025
125,+3.63,65.5,-.079,+6.80,-5.22,N.C. State,2025
33,+20.02,68.3,-.002,+15.11,+0.65,Mississippi St.,2025
8,+28.01,70.5,-.082,+8.09,+8.99,Gonzaga,2025
62,+13.56,69.8,-.037,+13.06,-8.36,Iowa,2025
99,+6.70,69.5,-.017,+0.66,-8.40,UAB,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
65,+12.17,67.1,-.037,+12.81,-1.18,Kansas St.,2025
10,+27.07,69.6,-.028,+12.51,-10.46,Maryland,2025
125,+3.63,65.5,-.079,+6.80,-5.22,N.C. State,2025
77,+9.98,66.2,+.039,+4.86,+4.92,Dayton,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
65,+12.17,67.1,-.037,+12.81,-1.18,Kansas St.,2025
,,,,,,The University of Texas at Arlington,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
237,-5.91,69.7,-.003,+1.13,-3.37,Fordham,2025
3,+36.46,70.1,+.032,+16.15,-2.20,Florida,2025
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
103,+5.87,68.9,-.001,+6.07,-8.11,Georgia Tech,2025
331,-15.46,70.6,+.012,-8.92,-3.98,Morgan St.,2025
7,+28.48,67.5,-.008,+14.72,+0.27,Michigan St.,2025
55,+14.86,66.1,-.055,+11.16,-4.92,Cincinnati,2025
43,+17.19,69.2,-.016,+10.29,-1.10,Xavier,2025
297,-11.44,71.3,-.074,+0.76,-4.45,San Diego,2025
116,+4.13,69.0,-.028,+2.62,+4.34,Florida Atlantic,2025
104,+5.79,67.9,+.011,+13.62,-4.30,Washington,2025
191,-2.39,70.1,-.051,+1.44,+1.68,UTSA,2025
90,+8.49,68.5,-.029,+6.72,-11.49,Georgetown,2025
10,+27.07,69.6,-.028,+12.51,-10.46,Maryland,2025
48,+16.23,69.5,+.010,+13.38,-6.82,Vanderbilt,2025
204,-3.42,64.7,-.042,+10.00,-2.90,Seton Hall,2025
106,+5.02,61.3,+.016,+8.44,+0.81,Virginia,2025
198,-2.85,67.4,-.091,-2.09,+11.59,Central Michigan,2025
83,+9.15,62.9,+.025,+12.35,-5.97,Minnesota,2025
153,+0.48,70.2,+.141,-2.80,+0.01,Charleston,2025
79,+9.46,64.9,+.063,+0.69,-5.47,George Mason,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
140,+2.16,65.4,-.127,+1.44,-2.11,Duquesne,2025
26,+22.31,67.6,+.050,+12.66,-8.05,BYU,2025
72,+11.18,67.3,+.088,+8.52,-1.92,Wake Forest,2025
27,+21.85,68.1,+.063,+15.19,+3.98,Oregon,2025
169,-0.45,66.7,-.003,+4.39,-3.49,San Jose St.,2025
22,+23.34,68.1,+.013,+16.98,-0.55,Mississippi,2025
37,+19.08,67.3,-.070,+15.21,+3.22,Ohio St.,2025
255,-7.66,68.6,-.050,+0.12,-6.56,FIU,2025
1,+39.29,66.0,-.026,+11.51,+9.46,Duke,2025
123,+3.82,64.8,+.047,+0.84,-4.46,St. Bonaventure,2025
204,-3.42,64.7,-.042,+10.00,-2.90,Seton Hall,2025
116,+4.13,69.0,-.028,+2.62,+4.34,Florida Atlantic,2025
171,-0.52,69.3,+.066,+1.64,+2.34,Illinois Chicago,2025
346,-18.14,60.5,+.061,-10.41,-2.10,Wagner,2025
99,+6.70,69.5,-.017,+0.66,-8.40,UAB,2025
240,-6.24,74.9,+.101,-3.45,-3.98,South Dakota,2025
186,-2.23,67.1,+.011,-3.36,-0.53,Southeastern Louisiana,2025
19,+23.57,68.6,-.055,+13.34,-9.28,Missouri,2025
22,+23.34,68.1,+.013,+16.98,-0.55,Mississippi,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
68,+11.75,69.3,+.061,+0.88,+4.18,UC Irvine,2025
162,+0.18,69.0,+.028,+2.31,+0.59,UTEP,2025
76,+10.50,69.1,-.063,+10.61,-9.60,Utah,2025
236,-5.77,68.2,+.117,-1.95,+3.91,Toledo,2025
103,+5.87,68.9,-.001,+6.07,-8.11,Georgia Tech,2025
229,-5.23,68.8,+.046,+1.66,-1.43,La Salle,2025
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
115,+4.22,68.4,+.026,+8.42,+2.58,Syracuse,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
39,+18.25,65.8,-.005,-1.44,-2.19,UC San Diego,2025
8,+28.01,70.5,-.082,+8.09,+8.99,Gonzaga,2025
130,+3.28,68.1,-.010,-3.65,-0.55,St. Thomas,2025
88,+8.72,68.2,-.062,+14.03,-7.01,LSU,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
107,+4.94,67.1,+.078,+0.91,-9.03,Loyola Chicago,2025
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
88,+8.72,68.2,-.062,+14.03,-7.01,LSU,2025
106,+5.02,61.3,+.016,+8.44,+0.81,Virginia,2025
6,+30.34,75.3,+.036,+20.14,+12.62,Alabama,2025
288,-10.58,65.7,+.025,+1.23,+7.26,Tarleton St.,2025
164,-0.02,65.3,+.030,+6.80,-1.29,Virginia Tech,2025
204,-3.42,64.7,-.042,+10.00,-2.90,Seton Hall,2025
148,+1.07,65.7,-.001,-2.82,-8.74,UC Santa Barbara,2025
348,-18.24,65.8,-.020,-3.90,-1.26,Sacramento St.,2025
90,+8.49,68.5,-.029,+6.72,-11.49,Georgetown,2025
14,+26.06,70.0,-.017,+9.16,-0.20,St. John's,2025
237,-5.91,69.7,-.003,+1.13,-3.37,Fordham,2025
284,-10.36,66.6,-.033,+2.34,-0.21,Pacific,2025
45,+16.98,68.2,+.024,+14.13,+1.50,Indiana,2025
155,+0.39,67.4,+.062,+2.47,-0.41,Loyola Marymount,2025
,,,,,,Arkansas Little Rock,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
40,+17.95,68.8,-.004,+14.90,-5.33,Oklahoma,2025
76,+10.50,69.1,-.063,+10.61,-9.60,Utah,2025
38,+18.57,66.7,-.002,+14.18,-5.76,Georgia,2025
38,+18.57,66.7,-.002,+14.18,-5.76,Georgia,2025
107,+4.94,67.1,+.078,+0.91,-9.03,Loyola Chicago,2025
22,+23.34,68.1,+.013,+16.98,-0.55,Mississippi,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
35,+19.44,67.3,+.044,+12.52,+5.73,Creighton,2025
193,-2.61,67.7,-.130,+7.56,-2.20,Miami FL,2025
48,+16.23,69.5,+.010,+13.38,-6.82,Vanderbilt,2025
11,+26.65,68.8,-.051,+12.83,-1.14,Iowa St.,2025
123,+3.82,64.8,+.047,+0.84,-4.46,St. Bonaventure,2025
97,+6.91,72.0,+.078,+11.49,-3.07,Oklahoma St.,2025
76,+10.50,69.1,-.063,+10.61,-9.60,Utah,2025
101,+6.29,71.4,+.060,-3.03,-3.52,Grand Canyon,2025
44,+17.02,65.2,-.089,+13.07,-2.25,Northwestern,2025
69,+11.51,65.5,-.088,+14.55,-2.11,South Carolina,2025
125,+3.63,65.5,-.079,+6.80,-5.22,N.C. State,2025
26,+22.31,67.6,+.050,+12.66,-8.05,BYU,2025
121,+3.85,67.8,-.001,+3.43,-0.37,Saint Louis,2025
30,+20.83,64.6,-.036,+16.72,+7.93,Baylor,2025
171,-0.52,69.3,+.066,+1.64,+2.34,Illinois Chicago,2025
125,+3.63,65.5,-.079,+6.80,-5.22,N.C. State,2025
31,+20.33,70.7,-.030,+12.57,+13.40,North Carolina,2025
56,+14.74,63.4,-.066,+8.19,-6.34,Villanova,2025
33,+20.02,68.3,-.002,+15.11,+0.65,Mississippi St.,2025
14,+26.06,70.0,-.017,+9.16,-0.20,St. John's,2025
77,+9.98,66.2,+.039,+4.86,+4.92,Dayton,2025
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
45,+16.98,68.2,+.024,+14.13,+1.50,Indiana,2025
45,+16.98,68.2,+.024,+14.13,+1.50,Indiana,2025
125,+3.63,65.5,-.079,+6.80,-5.22,N.C. State,2025
46,+16.98,67.8,+.017,+12.81,-2.92,Nebraska,2025
12,+26.57,68.0,-.047,+14.53,+0.01,Wisconsin,2025
9,+27.92,66.1,-.037,+12.19,-4.68,Texas Tech,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
290,-10.70,68.0,-.008,-3.47,-0.03,Western Michigan,2025
222,-4.74,70.5,-.050,+0.32,-3.72,Massachusetts,2025
93,+7.21,66.0,+.010,+5.73,+3.62,UNLV,2025
128,+3.39,67.4,-.006,-1.89,-11.28,George Washington,2025
130,+3.28,68.1,-.010,-3.65,-0.55,St. Thomas,2025
47,+16.90,67.6,-.067,+14.25,-8.10,Texas,2025
3,+36.46,70.1,+.032,+16.15,-2.20,Florida,2025
110,+4.43,67.7,-.038,+6.59,-1.59,California,2025
193,-2.61,67.7,-.130,+7.56,-2.20,Miami FL,2025
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
103,+5.87,68.9,-.001,+6.07,-8.11,Georgia Tech,2025
93,+7.21,66.0,+.010,+5.73,+3.62,UNLV,2025
34,+19.53,66.3,-.054,+1.32,-4.12,VCU,2025
14,+26.06,70.0,-.017,+9.16,-0.20,St. John's,2025
59,+14.34,69.2,-.066,+3.72,+3.65,Santa Clara,2025
85,+9.07,68.2,-.070,+0.51,-4.33,Saint Joseph's,2025
313,-13.20,66.4,+.085,-2.18,+1.59,Louisiana,2025
23,+23.22,64.6,-.046,+8.32,+3.67,Clemson,2025
45,+16.98,68.2,+.024,+14.13,+1.50,Indiana,2025
50,+15.42,68.9,+.001,+5.58,-3.77,SMU,2025
60,+14.24,65.9,-.008,-0.61,+8.79,McNeese,2025
48,+16.23,69.5,+.010,+13.38,-6.82,Vanderbilt,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
144,+1.42,67.1,-.021,-0.64,-6.46,Tulane,2025
99,+6.70,69.5,-.017,+0.66,-8.40,UAB,2025
41,+17.78,72.5,-.002,+7.33,+5.42,New Mexico,2025
243,-6.34,67.8,+.162,-6.61,-1.32,Mount St. Mary's,2025
138,+2.27,65.0,-.050,+1.82,+1.39,Murray St.,2025
161,+0.21,71.9,+.034,+2.13,+1.99,Western Kentucky,2025
93,+7.21,66.0,+.010,+5.73,+3.62,UNLV,2025
61,+14.00,67.6,+.092,+6.11,+0.68,Utah St.,2025
40,+17.95,68.8,-.004,+14.90,-5.33,Oklahoma,2025
122,+3.83,67.4,-.039,+8.74,-9.46,DePaul,2025
134,+2.82,65.1,-.037,+2.25,+1.68,New Mexico St.,2025
14,+26.06,70.0,-.017,+9.16,-0.20,St. John's,2025
96,+6.93,66.5,-.097,+9.70,-0.65,Providence,2025
3,+36.46,70.1,+.032,+16.15,-2.20,Florida,2025
55,+14.86,66.1,-.055,+11.16,-4.92,Cincinnati,2025
55,+14.86,66.1,-.055,+11.16,-4.92,Cincinnati,2025
120,+3.86,70.8,+.062,+4.34,+2.66,Washington St.,2025
235,-5.67,70.6,-.017,-3.03,-1.53,Delaware,2025
69,+11.51,65.5,-.088,+14.55,-2.11,South Carolina,2025
151,+0.62,63.0,+.059,-2.13,+1.51,Radford,2025
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
62,+13.56,69.8,-.037,+13.06,-8.36,Iowa,2025
65,+12.17,67.1,-.037,+12.81,-1.18,Kansas St.,2025
73,+11.03,68.9,-.027,+15.66,+8.13,Arizona St.,2025
116,+4.13,69.0,-.028,+2.62,+4.34,Florida Atlantic,2025
4,+35.05,68.2,+.026,+19.63,+10.51,Auburn,2025
85,+9.07,68.2,-.070,+0.51,-4.33,Saint Joseph's,2025
33,+20.02,68.3,-.002,+15.11,+0.65,Mississippi St.,2025
181,-2.00,66.9,+.018,+5.19,-6.70,Boston College,2025
50,+15.42,68.9,+.001,+5.58,-3.77,SMU,2025
76,+10.50,69.1,-.063,+10.61,-9.60,Utah,2025
84,+9.13,70.2,-.052,-1.63,+1.02,Arkansas St.,2025
9,+27.92,66.1,-.037,+12.19,-4.68,Texas Tech,2025
91,+8.20,69.7,-.007,+6.24,-2.60,Florida St.,2025
97,+6.91,72.0,+.078,+11.49,-3.07,Oklahoma St.,2025
104,+5.79,67.9,+.011,+13.62,-4.30,Washington,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
147,+1.08,66.1,-.020,-0.02,-4.75,Davidson,2025
181,-2.00,66.9,+.018,+5.19,-6.70,Boston College,2025
72,+11.18,67.3,+.088,+8.52,-1.92,Wake Forest,2025
128,+3.39,67.4,-.006,-1.89,-11.28,George Washington,2025
187,-2.24,67.8,+.019,-3.42,+4.41,Eastern Kentucky,2025
170,-0.45,63.4,-.028,-3.11,+3.10,Appalachian St.,2025
7,+28.48,67.5,-.008,+14.72,+0.27,Michigan St.,2025
77,+9.98,66.2,+.039,+4.86,+4.92,Dayton,2025
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
123,+3.82,64.8,+.047,+0.84,-4.46,St. Bonaventure,2025
42,+17.61,66.0,+.013,+6.55,+1.39,Colorado St.,2025
73,+11.03,68.9,-.027,+15.66,+8.13,Arizona St.,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
56,+14.74,63.4,-.066,+8.19,-6.34,Villanova,2025
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
339,-17.44,70.9,+.028,-3.03,+0.38,Buffalo,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
207,-3.71,68.7,+.015,-4.77,-1.35,Portland St.,2025
196,-2.84,68.5,-.047,+0.37,-5.47,South Florida,2025
56,+14.74,63.4,-.066,+8.19,-6.34,Villanova,2025
136,+2.51,68.9,+.034,+1.84,+1.02,Wichita St.,2025
4,+35.05,68.2,+.026,+19.63,+10.51,Auburn,2025
237,-5.91,69.7,-.003,+1.13,-3.37,Fordham,2025
33,+20.02,68.3,-.002,+15.11,+0.65,Mississippi St.,2025
87,+8.73,68.0,-.039,+13.59,-1.53,Colorado,2025
56,+14.74,63.4,-.066,+8.19,-6.34,Villanova,2025
205,-3.49,68.2,-.001,+0.52,-4.25,Valparaiso,2025
82,+9.15,66.5,+.015,-4.82,-5.75,High Point,2025
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
52,+15.12,59.4,+.021,+1.23,-2.74,Drake,2025
333,-15.87,64.6,-.017,-3.33,-1.17,Stony Brook,2025
142,+1.89,65.3,-.069,-3.36,-3.63,East Tennessee St.,2025
186,-2.23,67.1,+.011,-3.36,-0.53,Southeastern Louisiana,2025
45,+16.98,68.2,+.024,+14.13,+1.50,Indiana,2025
189,-2.28,66.1,-.063,-2.23,+4.83,Montana St.,2025
200,-2.89,67.8,+.057,-3.06,+6.63,Jacksonville,2025
112,+4.25,68.4,+.077,-1.54,+0.62,Utah Valley,2025
115,+4.22,68.4,+.026,+8.42,+2.58,Syracuse,2025
196,-2.84,68.5,-.047,+0.37,-5.47,South Florida,2025
45,+16.98,68.2,+.024,+14.13,+1.50,Indiana,2025
24,+22.94,68.6,-.034,+15.79,+8.86,Kansas,2025
76,+10.50,69.1,-.063,+10.61,-9.60,Utah,2025
116,+4.13,69.0,-.028,+2.62,+4.34,Florida Atlantic,2025
124,+3.64,70.7,+.081,+0.30,-1.82,Belmont,2025
170,-0.45,63.4,-.028,-3.11,+3.10,Appalachian St.,2025
72,+11.18,67.3,+.088,+8.52,-1.92,Wake Forest,2025
14,+26.06,70.0,-.017,+9.16,-0.20,St. John's,2025
30,+20.83,64.6,-.036,+16.72,+7.93,Baylor,2025
103,+5.87,68.9,-.001,+6.07,-8.11,Georgia Tech,2025
58,+14.36,70.1,-.093,+10.08,-10.64,Penn St.,2025
75,+10.54,68.0,-.068,+11.61,+3.06,Butler,2025
45,+16.98,68.2,+.024,+14.13,+1.50,Indiana,2025
22,+23.34,68.1,+.013,+16.98,-0.55,Mississippi,2025
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
51,+15.13,66.3,+.028,+9.20,+13.55,San Diego St.,2025
22,+23.34,68.1,+.013,+16.98,-0.55,Mississippi,2025
82,+9.15,66.5,+.015,-4.82,-5.75,High Point,2025
4,+35.05,68.2,+.026,+19.63,+10.51,Auburn,2025
121,+3.85,67.8,-.001,+3.43,-0.37,Saint Louis,2025
48,+16.23,69.5,+.010,+13.38,-6.82,Vanderbilt,2025
282,-10.21,66.2,+.033,-3.88,-2.88,Old Dominion,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
77,+9.98,66.2,+.039,+4.86,+4.92,Dayton,2025
138,+2.27,65.0,-.050,+1.82,+1.39,Murray St.,2025
209,-3.87,67.6,+.019,-4.21,-3.82,Northeastern,2025
110,+4.43,67.7,-.038,+6.59,-1.59,California,2025
50,+15.42,68.9,+.001,+5.58,-3.77,SMU,2025
65,+12.17,67.1,-.037,+12.81,-1.18,Kansas St.,2025
34,+19.53,66.3,-.054,+1.32,-4.12,VCU,2025
41,+17.78,72.5,-.002,+7.33,+5.42,New Mexico,2025
84,+9.13,70.2,-.052,-1.63,+1.02,Arkansas St.,2025
66,+12.15,68.1,+.040,+3.40,-1.18,San Francisco,2025
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
236,-5.77,68.2,+.117,-1.95,+3.91,Toledo,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
56,+14.74,63.4,-.066,+8.19,-6.34,Villanova,2025
139,+2.26,66.1,+.112,-0.93,+0.07,Furman,2025
138,+2.27,65.0,-.050,+1.82,+1.39,Murray St.,2025
79,+9.46,64.9,+.063,+0.69,-5.47,George Mason,2025
155,+0.39,67.4,+.062,+2.47,-0.41,Loyola Marymount,2025
23,+23.22,64.6,-.046,+8.32,+3.67,Clemson,2025
105,+5.28,65.9,+.049,-4.06,-5.14,UNC Wilmington,2025
30,+20.83,64.6,-.036,+16.72,+7.93,Baylor,2025
62,+13.56,69.8,-.037,+13.06,-8.36,Iowa,2025
63,+13.50,66.5,-.068,+8.60,+3.76,Pittsburgh,2025
128,+3.39,67.4,-.006,-1.89,-11.28,George Washington,2025
252,-7.21,70.6,-.068,-8.44,-0.13,Tennessee St.,2025
47,+16.90,67.6,-.067,+14.25,-8.10,Texas,2025
83,+9.15,62.9,+.025,+12.35,-5.97,Minnesota,2025
164,-0.02,65.3,+.030,+6.80,-1.29,Virginia Tech,2025
107,+4.94,67.1,+.078,+0.91,-9.03,Loyola Chicago,2025
161,+0.21,71.9,+.034,+2.13,+1.99,Western Kentucky,2025
107,+4.94,67.1,+.078,+0.91,-9.03,Loyola Chicago,2025
260,-7.96,68.3,+.014,-7.25,-2.88,Iona,2025
23,+23.22,64.6,-.046,+8.32,+3.67,Clemson,2025
31,+20.33,70.7,-.030,+12.57,+13.40,North Carolina,2025
38,+18.57,66.7,-.002,+14.18,-5.76,Georgia,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
264,-8.22,69.2,-.011,-2.36,-0.06,Gardner Webb,2025
107,+4.94,67.1,+.078,+0.91,-9.03,Loyola Chicago,2025
157,+0.35,70.6,+.016,-1.16,-6.64,Rhode Island,2025
142,+1.89,65.3,-.069,-3.36,-3.63,East Tennessee St.,2025
83,+9.15,62.9,+.025,+12.35,-5.97,Minnesota,2025
93,+7.21,66.0,+.010,+5.73,+3.62,UNLV,2025
77,+9.98,66.2,+.039,+4.86,+4.92,Dayton,2025
19,+23.57,68.6,-.055,+13.34,-9.28,Missouri,2025
35,+19.44,67.3,+.044,+12.52,+5.73,Creighton,2025
69,+11.51,65.5,-.088,+14.55,-2.11,South Carolina,2025
125,+3.63,65.5,-.079,+6.80,-5.22,N.C. State,2025
98,+6.90,64.9,-.046,+7.42,-0.23,Notre Dame,2025
9,+27.92,66.1,-.037,+12.19,-4.68,Texas Tech,2025
110,+4.43,67.7,-.038,+6.59,-1.59,California,2025
105,+5.28,65.9,+.049,-4.06,-5.14,UNC Wilmington,2025
206,-3.69,65.5,-.037,-3.84,-0.53,Elon,2025
30,+20.83,64.6,-.036,+16.72,+7.93,Baylor,2025
55,+14.86,66.1,-.055,+11.16,-4.92,Cincinnati,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
9,+27.92,66.1,-.037,+12.19,-4.68,Texas Tech,2025
76,+10.50,69.1,-.063,+10.61,-9.60,Utah,2025
43,+17.19,69.2,-.016,+10.29,-1.10,Xavier,2025
181,-2.00,66.9,+.018,+5.19,-6.70,Boston College,2025
42,+17.61,66.0,+.013,+6.55,+1.39,Colorado St.,2025
73,+11.03,68.9,-.027,+15.66,+8.13,Arizona St.,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
204,-3.42,64.7,-.042,+10.00,-2.90,Seton Hall,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
44,+17.02,65.2,-.089,+13.07,-2.25,Northwestern,2025
43,+17.19,69.2,-.016,+10.29,-1.10,Xavier,2025
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
130,+3.28,68.1,-.010,-3.65,-0.55,St. Thomas,2025
294,-11.10,67.1,-.011,-1.56,-1.76,Penn,2025
43,+17.19,69.2,-.016,+10.29,-1.10,Xavier,2025
10,+27.07,69.6,-.028,+12.51,-10.46,Maryland,2025
10,+27.07,69.6,-.028,+12.51,-10.46,Maryland,2025
63,+13.50,66.5,-.068,+8.60,+3.76,Pittsburgh,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
21,+23.45,70.1,+.072,+16.57,+3.95,Michigan,2025
93,+7.21,66.0,+.010,+5.73,+3.62,UNLV,2025
155,+0.39,67.4,+.062,+2.47,-0.41,Loyola Marymount,2025
196,-2.84,68.5,-.047,+0.37,-5.47,South Florida,2025
38,+18.57,66.7,-.002,+14.18,-5.76,Georgia,2025
140,+2.16,65.4,-.127,+1.44,-2.11,Duquesne,2025
122,+3.83,67.4,-.039,+8.74,-9.46,DePaul,2025
13,+26.35,70.3,-.048,+16.93,+5.19,Arizona,2025
26,+22.31,67.6,+.050,+12.66,-8.05,BYU,2025
104,+5.79,67.9,+.011,+13.62,-4.30,Washington,2025
157,+0.35,70.6,+.016,-1.16,-6.64,Rhode Island,2025
48,+16.23,69.5,+.010,+13.38,-6.82,Vanderbilt,2025
10,+27.07,69.6,-.028,+12.51,-10.46,Maryland,2025
7,+28.48,67.5,-.008,+14.72,+0.27,Michigan St.,2025
31,+20.33,70.7,-.030,+12.57,+13.40,North Carolina,2025
106,+5.02,61.3,+.016,+8.44,+0.81,Virginia,2025
27,+21.85,68.1,+.063,+15.19,+3.98,Oregon,2025
193,-2.61,67.7,-.130,+7.56,-2.20,Miami FL,2025
9,+27.92,66.1,-.037,+12.19,-4.68,Texas Tech,2025
49,+16.04,66.0,+.001,+6.60,+1.51,Boise St.,2025
83,+9.15,62.9,+.025,+12.35,-5.97,Minnesota,2025
46,+16.98,67.8,+.017,+12.81,-2.92,Nebraska,2025
122,+3.83,67.4,-.039,+8.74,-9.46,DePaul,2025
10,+27.07,69.6,-.028,+12.51,-10.46,Maryland,2025
106,+5.02,61.3,+.016,+8.44,+0.81,Virginia,2025
33,+20.02,68.3,-.002,+15.11,+0.65,Mississippi St.,2025
46,+16.98,67.8,+.017,+12.81,-2.92,Nebraska,2025
43,+17.19,69.2,-.016,+10.29,-1.10,Xavier,2025
191,-2.39,70.1,-.051,+1.44,+1.68,UTSA,2025
229,-5.23,68.8,+.046,+1.66,-1.43,La Salle,2025
37,+19.08,67.3,-.070,+15.21,+3.22,Ohio St.,2025
110,+4.43,67.7,-.038,+6.59,-1.59,California,2025
10,+27.07,69.6,-.028,+12.51,-10.46,Maryland,2025
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
46,+16.98,67.8,+.017,+12.81,-2.92,Nebraska,2025
350,-18.79,68.2,+.012,-2.79,+1.94,West Georgia,2025
91,+8.20,69.7,-.007,+6.24,-2.60,Florida St.,2025
151,+0.62,63.0,+.059,-2.13,+1.51,Radford,2025
