rank,netrtg,adjt,luck,sos,sos_ooc,team,year
186,-2.23,67.1,+.011,-3.36,-0.53,Southeastern Louisiana,2025
262,-8.05,68.6,+.067,-3.25,+3.49,USC Upstate,2022
252,-7.21,70.6,-.068,-8.44,-0.13,Tennessee St.,2025
46,+16.98,67.8,+.017,+12.81,-2.92,Nebraska,2025
326,-13.87,69.6,+.027,-12.88,-7.68,Sacred Heart,2023
32,+20.18,64.0,-.027,+11.08,-0.39,Connecticut,2025
290,-9.85,66.4,-.035,+6.19,+1.57,Louisville,2023
124,+3.64,70.7,+.081,+0.30,-1.82,Belmont,2025
201,-3.19,68.4,+.123,-3.40,-0.76,UNC Asheville,2025
,,,,,,California Baptist,2025
121,+3.85,67.8,-.001,+3.43,-0.37,Saint Louis,2025
138,+2.27,65.0,-.050,+1.82,+1.39,Murray St.,2025
50,+15.42,68.9,+.001,+5.58,-3.77,SMU,2025
48,+16.23,69.5,+.010,+13.38,-6.82,Vanderbilt,2025
231,-5.23,65.5,+.003,-2.74,-1.33,Maine,2024
101,+7.24,67.6,-.051,+2.81,-5.61,Cincinnati,2022
153,+1.06,69.3,-.001,-2.84,-2.68,Lipscomb,2023
136,+2.51,68.9,+.034,+1.84,+1.02,Wichita St.,2025
141,+2.11,68.9,+.004,-2.81,+2.43,Milwaukee,2025
295,-10.15,64.6,+.050,-1.08,-1.34,Chicago St.,2024
153,+0.48,70.2,+.141,-2.80,+0.01,Charleston,2025
160,+0.24,65.1,+.069,-1.22,+3.73,James Madison,2025
193,-2.61,67.7,-.130,+7.56,-2.20,Miami FL,2025
17,+20.06,65.5,-.036,+14.04,+6.22,Wisconsin,2024
24,+22.94,68.6,-.034,+15.79,+8.86,Kansas,2025
185,-2.23,64.8,-.027,+4.76,-3.15,Wyoming,2025
222,-4.74,70.5,-.050,+0.32,-3.72,Massachusetts,2025
280,-9.65,66.3,+.025,-2.26,+5.06,Austin Peay,2025
117,+4.98,65.8,-.044,-2.57,+2.96,UNC Greensboro,2023
315,-13.31,65.0,+.074,-6.51,+0.22,Rider,2025
315,-13.03,67.0,+.044,+0.48,+6.55,Charleston Southern,2024
157,+0.86,68.9,-.056,+3.80,+0.25,Portland,2023
160,+0.52,64.5,-.113,+3.01,-0.21,Murray St.,2024
146,+2.04,65.5,+.155,-2.36,-5.48,UNC Wilmington,2022
172,-0.12,64.7,+.018,-0.99,+6.13,Stetson,2023
119,+3.98,68.5,+.074,+2.67,+2.97,Middle Tennessee,2025
106,+6.49,67.8,+.102,+4.78,+1.94,UAB,2024
257,-7.89,65.0,-.009,-0.35,-4.28,Charlotte,2025
199,-1.74,69.6,+.089,+1.62,-6.54,Rice,2023
350,-17.86,65.9,+.005,-5.62,+7.66,Alabama St.,2023
345,-19.04,70.0,-.009,-6.84,-3.16,Incarnate Word,2024
278,-9.53,70.1,-.049,-7.20,+12.38,Texas Southern,2025
323,-14.24,65.2,+.031,-9.69,-2.97,Stonehill,2025
259,-7.94,70.8,-.008,+5.67,-2.37,Fresno St.,2025
209,-3.94,66.2,+.035,-0.68,-2.40,Mercer,2024
335,-16.49,67.2,-.027,-7.82,-2.30,Southern Indiana,2025
203,-2.71,65.9,-.003,+3.53,+1.89,Loyola Marymount,2022
255,-7.07,67.1,-.016,-0.98,-2.72,Rhode Island,2023
337,-16.67,67.2,+.028,-1.79,+1.21,Detroit Mercy,2025
189,-1.29,69.5,+.007,-5.63,-3.46,Quinnipiac,2023
193,-1.47,69.0,-.050,+2.14,-0.34,Abilene Christian,2023
190,-2.39,68.1,-.025,+1.55,+2.27,Southern Illinois,2025
3,+36.46,70.1,+.032,+16.15,-2.20,Florida,2025
174,-0.91,64.1,-.007,+0.23,+14.14,Oakland,2025
239,-6.08,64.0,-.104,+1.18,-0.13,Missouri St.,2025
216,-4.36,69.3,-.022,+2.74,-4.32,Pepperdine,2025
170,-0.45,63.4,-.028,-3.11,+3.10,Appalachian St.,2025
289,-9.98,68.9,-.010,-6.61,-0.79,Delaware St.,2024
156,+0.89,62.1,-.021,-1.48,+1.21,Missouri St.,2023
73,+11.03,68.9,-.027,+15.66,+8.13,Arizona St.,2025
49,+16.04,66.0,+.001,+6.60,+1.51,Boise St.,2025
357,-20.19,67.0,-.026,-4.08,+8.58,Mississippi Valley St.,2023
18,+19.96,69.2,-.048,+9.21,-5.67,BYU,2024
,,,,,,McNeese St.,2025
345,-19.04,70.0,-.009,-6.84,-3.16,Incarnate Word,2024
53,+15.11,64.3,+.023,+13.19,+0.98,West Virginia,2025
259,-7.94,70.8,-.008,+5.67,-2.37,Fresno St.,2025
244,-5.82,73.1,-.079,-3.32,-3.25,Albany,2024
123,+4.45,67.6,+.072,+11.25,+4.66,Georgia Tech,2024
127,+3.53,64.7,+.031,+0.76,-2.56,Louisiana Tech,2025
163,+0.07,67.3,+.180,-1.74,+8.50,Montana,2025
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
172,-0.85,71.4,+.060,-7.03,-7.27,Quinnipiac,2024
323,-14.24,65.2,+.031,-9.69,-2.97,Stonehill,2025
219,-3.63,68.8,-.056,+8.72,-5.44,Georgetown,2023
79,+10.29,71.1,+.013,+11.13,+2.89,Florida St.,2024
191,-2.39,70.1,-.051,+1.44,+1.68,UTSA,2025
,,,,,,Kansas City,2022
33,+16.71,65.9,+.045,+7.30,-2.99,Texas A&M,2023
82,+10.28,73.3,-.013,+7.18,-7.58,St. John's,2023
243,-5.77,68.1,+.055,-0.88,+1.18,Southern Miss,2024
87,+8.83,69.5,+.035,-3.09,-1.43,Toledo,2023
152,+1.35,70.6,+.072,-1.71,+8.94,Eastern Washington,2024
329,-14.84,63.4,-.048,-4.90,-6.04,Coastal Carolina,2025
231,-5.44,68.7,+.053,-7.80,+11.88,Southern,2025
61,+12.60,68.6,-.027,+11.83,+2.05,Butler,2024
168,-0.63,67.6,+.054,-1.32,+1.10,Stony Brook,2024
131,+3.02,70.5,+.035,+3.02,+3.13,Kennesaw St.,2025
87,+8.73,68.0,-.039,+13.59,-1.53,Colorado,2025
110,+4.43,67.7,-.038,+6.59,-1.59,California,2025
86,+9.05,69.4,-.012,+5.12,-2.32,Wake Forest,2023
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
196,-2.76,68.3,-.064,+2.55,-3.02,Illinois Chicago,2024
206,-3.69,65.5,-.037,-3.84,-0.53,Elon,2025
340,-17.59,72.9,-.021,-0.87,+2.56,USC Upstate,2025
46,+16.98,67.8,+.017,+12.81,-2.92,Nebraska,2025
68,+11.80,60.1,+.108,+9.07,-1.09,Virginia,2024
34,+17.07,67.1,-.037,+11.36,+0.68,Mississippi St.,2024
352,-19.80,67.8,-.015,-4.89,+0.04,Stetson,2025
300,-11.71,65.8,-.011,-2.68,+2.78,Weber St.,2025
258,-7.90,71.3,-.014,-2.36,-1.96,Mercer,2025
125,+4.28,65.7,-.080,+4.21,+0.94,Davidson,2024
210,-3.90,69.2,+.002,-4.09,-4.07,Longwood,2025
328,-14.69,64.2,+.079,-6.88,+5.37,Morehead St.,2025
201,-2.06,65.5,-.032,-1.32,-3.90,St. Bonaventure,2023
263,-8.12,70.4,-.049,-7.57,-2.88,Sacred Heart,2025
327,-15.31,72.2,+.086,-9.09,-4.66,Fairleigh Dickinson,2024
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
359,-23.01,66.4,-.078,-4.89,+3.85,Canisius,2025
13,+26.35,70.3,-.048,+16.93,+5.19,Arizona,2025
356,-21.72,67.6,+.019,-6.17,-3.51,New Hampshire,2025
111,+4.30,66.7,+.030,-2.15,+2.09,Kent St.,2025
277,-8.46,65.1,+.148,-3.62,+3.06,Central Michigan,2024
187,-1.16,69.1,-.088,+3.66,+3.92,New Mexico St.,2023
332,-15.72,69.1,-.050,-0.92,+3.77,Green Bay,2025
229,-5.09,65.9,-.059,+2.60,-0.51,Rice,2024
264,-8.22,69.2,-.011,-2.36,-0.06,Gardner Webb,2025
76,+11.35,68.7,+.012,-3.28,+4.03,Iona,2023
280,-9.65,66.3,+.025,-2.26,+5.06,Austin Peay,2025
325,-14.52,64.9,-.010,-4.77,+13.29,Alcorn St.,2025
350,-17.86,65.9,+.005,-5.62,+7.66,Alabama St.,2023
259,-7.09,64.8,+.139,-4.42,+15.00,Grambling St.,2024
22,+20.59,68.7,+.017,+13.19,-0.73,Creighton,2021
183,-1.15,69.6,-.022,-2.63,-2.11,Louisiana,2022
66,+11.83,68.7,-.072,+9.02,-5.96,UCF,2024
146,+1.09,69.2,+.086,-5.38,-3.21,Miami OH,2025
314,-13.27,70.2,-.000,-6.75,+1.93,Howard,2025
247,-6.62,63.9,-.026,+1.95,-2.98,Richmond,2025
275,-8.80,66.7,+.050,-4.64,-11.13,FIU,2022
257,-7.21,72.3,+.015,-7.68,+0.52,Southeast Missouri St.,2023
324,-14.41,67.0,+.015,-6.96,-0.49,North Carolina Central,2025
268,-8.63,67.3,+.028,-1.92,+2.37,Monmouth,2025
212,-4.03,67.4,+.018,-8.67,+3.91,Merrimack,2024
55,+14.86,66.1,-.055,+11.16,-4.92,Cincinnati,2025
,,,,,,Kansas City,2024
316,-13.31,66.4,+.003,-5.68,+11.45,Eastern Illinois,2025
70,+11.52,67.7,+.028,+11.49,+0.06,Kansas St.,2024
47,+16.90,67.6,-.067,+14.25,-8.10,Texas,2025
97,+6.91,72.0,+.078,+11.49,-3.07,Oklahoma St.,2025
136,+2.73,72.8,-.086,+3.40,-3.43,Tulane,2024
25,+22.73,61.7,+.014,+6.61,+5.47,Saint Mary's,2025
240,-6.24,74.9,+.101,-3.45,-3.98,South Dakota,2025
212,-4.09,68.7,+.054,-3.88,+0.69,Queens,2025
41,+17.78,72.5,-.002,+7.33,+5.42,New Mexico,2025
53,+14.53,68.0,+.051,+2.95,-1.34,Drake,2024
71,+11.30,61.0,-.012,+1.88,+1.90,North Texas,2025
61,+14.00,67.6,+.092,+6.11,+0.68,Utah St.,2025
287,-10.49,68.4,+.027,-2.50,-2.79,VMI,2025
312,-11.62,68.1,-.011,-8.89,+1.71,Alabama A&M,2023
319,-13.02,69.8,+.054,-4.24,+4.75,North Carolina A&T,2023
308,-12.56,64.3,-.071,+0.53,+1.95,Long Beach St.,2025
86,+9.36,66.9,+.095,+8.78,-1.54,Mississippi,2024
73,+11.03,68.9,-.027,+15.66,+8.13,Arizona St.,2025
228,-4.70,62.3,+.012,-0.91,+2.97,Sacramento St.,2023
163,+0.07,67.3,+.180,-1.74,+8.50,Montana,2025
134,+2.82,65.1,-.037,+2.25,+1.68,New Mexico St.,2025
64,+12.63,70.1,+.036,+3.20,+4.60,Utah Valley,2023
39,+16.47,67.5,-.073,+9.25,-4.17,Cincinnati,2024
116,+4.13,69.0,-.028,+2.62,+4.34,Florida Atlantic,2025
,,,,,,Kansas City,2023
135,+2.90,75.3,-.036,-2.07,-3.00,Western Kentucky,2024
54,+15.10,71.0,+.085,+6.51,+15.73,Memphis,2025
106,+6.49,67.8,+.102,+4.78,+1.94,UAB,2024
109,+4.49,63.3,-.042,-3.78,-2.59,South Alabama,2025
149,+0.92,72.7,+.007,-6.41,+0.34,Bryant,2025
247,-6.62,63.9,-.026,+1.95,-2.98,Richmond,2025
94,+7.14,66.8,+.072,-0.88,+0.20,Chattanooga,2025
73,+11.03,68.9,-.027,+15.66,+8.13,Arizona St.,2025
65,+12.17,67.1,-.037,+12.81,-1.18,Kansas St.,2025
46,+14.45,65.4,+.121,+5.02,-2.32,Colorado St.,2022
178,-1.15,69.8,-.009,-0.57,-0.78,UTEP,2024
164,-0.02,65.3,+.030,+6.80,-1.29,Virginia Tech,2025
320,-13.97,65.9,+.056,-7.65,-5.54,Binghamton,2025
17,+24.32,71.5,-.022,+17.14,+3.60,Illinois,2025
45,+15.90,68.0,+.014,+11.33,-4.99,N.C. State,2024
102,+6.09,65.4,-.015,+0.94,-1.60,Northern Iowa,2025
205,-3.63,67.4,-.014,-2.82,-4.59,UC Santa Barbara,2024
214,-4.24,67.7,-.060,-2.93,+0.76,Wright St.,2025
139,+2.55,69.4,+.004,-1.59,+4.95,Toledo,2024
333,-15.87,64.6,-.017,-3.33,-1.17,Stony Brook,2025
221,-3.79,64.2,+.042,+6.00,-3.27,South Carolina,2023
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
96,+6.93,66.5,-.097,+9.70,-0.65,Providence,2025
281,-8.81,70.4,+.042,+0.67,+0.50,Utah Tech,2024
46,+16.98,67.8,+.017,+12.81,-2.92,Nebraska,2025
342,-17.89,64.9,+.099,-9.32,-1.74,Mercyhurst,2025
194,-2.77,66.2,-.041,-2.62,-0.45,Texas St.,2025
154,+1.12,68.1,-.037,+3.51,+1.48,Wichita St.,2024
316,-13.11,64.9,-.058,-0.26,+8.48,Bellarmine,2024
175,-0.98,68.6,+.033,-5.23,-2.59,Fairfield,2024
72,+11.13,67.7,-.090,+3.47,+0.33,SMU,2024
73,+11.03,68.9,-.027,+15.66,+8.13,Arizona St.,2025
110,+4.43,67.7,-.038,+6.59,-1.59,California,2025
161,+0.21,71.9,+.034,+2.13,+1.99,Western Kentucky,2025
105,+5.28,65.9,+.049,-4.06,-5.14,UNC Wilmington,2025
189,-2.45,65.0,-.002,+1.08,-6.50,East Carolina,2024
82,+9.15,66.5,+.015,-4.82,-5.75,High Point,2025
288,-9.73,66.6,+.019,-7.42,+1.69,Tennessee Tech,2023
322,-14.01,68.8,+.010,-4.49,-4.49,South Dakota,2024
91,+8.20,69.7,-.007,+6.24,-2.60,Florida St.,2025
188,-1.20,72.1,-.140,+4.65,+2.67,Pepperdine,2023
42,+17.61,66.0,+.013,+6.55,+1.39,Colorado St.,2025
100,+6.47,71.7,+.092,-3.34,+1.79,Akron,2025
15,+19.95,70.5,+.005,+10.42,+3.40,Xavier,2023
61,+14.00,67.6,+.092,+6.11,+0.68,Utah St.,2025
334,-16.01,66.2,+.070,-6.52,-3.16,Fairfield,2025
249,-6.89,69.6,+.064,-4.86,-3.11,Georgia Southern,2025
219,-3.63,68.8,-.056,+8.72,-5.44,Georgetown,2023
199,-2.83,69.5,+.061,+5.59,+3.08,Saint Louis,2024
99,+6.70,69.5,-.017,+0.66,-8.40,UAB,2025
267,-8.54,66.4,-.044,-1.33,-9.34,Tulsa,2025
325,-14.89,67.5,-.093,-5.47,+2.72,Northwestern St.,2024
357,-21.97,70.4,-.062,-5.29,+11.16,Prairie View A&M,2025
289,-10.68,68.9,+.004,-6.37,-6.78,Bowling Green,2025
220,-4.61,66.1,-.058,-4.29,-4.13,Campbell,2025
27,+21.85,68.1,+.063,+15.19,+3.98,Oregon,2025
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
290,-9.85,66.4,-.035,+6.19,+1.57,Louisville,2023
125,+3.63,65.5,-.079,+6.80,-5.22,N.C. State,2025
193,-2.61,67.7,-.130,+7.56,-2.20,Miami FL,2025
179,-1.86,63.8,+.021,+1.13,-4.00,Illinois St.,2024
78,+9.76,64.0,-.093,+5.22,+2.00,Nevada,2025
219,-3.63,68.8,-.056,+8.72,-5.44,Georgetown,2023
86,+9.36,66.9,+.095,+8.78,-1.54,Mississippi,2024
,,,,,,McNeese St.,2025
135,+2.90,75.3,-.036,-2.07,-3.00,Western Kentucky,2024
97,+6.91,72.0,+.078,+11.49,-3.07,Oklahoma St.,2025
87,+9.26,68.2,+.049,+0.97,-4.18,South Florida,2024
223,-4.65,69.0,-.009,-3.58,+0.08,Montana St.,2024
252,-7.21,70.6,-.068,-8.44,-0.13,Tennessee St.,2025
139,+2.92,70.5,+.043,-5.77,-9.96,Seattle,2022
11,+26.65,68.8,-.051,+12.83,-1.14,Iowa St.,2025
,,,,,,California Baptist,2024
306,-12.50,69.4,-.073,-7.97,+2.72,Fairleigh Dickinson,2025
161,+0.21,71.9,+.034,+2.13,+1.99,Western Kentucky,2025
335,-16.49,67.2,-.027,-7.82,-2.30,Southern Indiana,2025
107,+5.92,69.1,+.037,+7.35,-0.70,Washington,2023
46,+16.98,67.8,+.017,+12.81,-2.92,Nebraska,2025
352,-21.33,69.2,+.016,-5.39,+2.97,Southeast Missouri St.,2024
79,+9.46,64.9,+.063,+0.69,-5.47,George Mason,2025
255,-7.07,67.1,-.016,-0.98,-2.72,Rhode Island,2023
313,-12.80,69.6,+.003,-2.43,-5.33,Coastal Carolina,2024
286,-10.45,69.2,+.119,-5.52,+9.07,Bethune Cookman,2025
65,+12.17,67.1,-.037,+12.81,-1.18,Kansas St.,2025
65,+11.94,66.1,+.056,+4.10,-1.05,Wyoming,2022
86,+8.82,66.7,+.030,+13.10,+2.81,TCU,2025
71,+11.30,61.0,-.012,+1.88,+1.90,North Texas,2025
83,+9.15,62.9,+.025,+12.35,-5.97,Minnesota,2025
135,+2.62,65.1,-.006,-3.19,-0.25,North Dakota St.,2025
293,-10.47,64.2,-.056,-0.51,+1.44,Chicago St.,2023
285,-10.42,65.0,-.003,-10.79,-2.73,LIU,2025
337,-17.47,68.1,-.016,-3.60,+3.08,Manhattan,2024
210,-3.97,68.3,-.030,-7.84,-3.27,Lamar,2024
178,-1.63,66.5,+.071,-6.42,+2.92,Norfolk St.,2025
,,,,,,Nicholls St.,2025
286,-9.69,67.2,+.015,-6.87,+0.90,SIU Edwardsville,2024
30,+17.55,69.0,+.010,+9.39,-5.41,Nebraska,2024
337,-17.47,68.1,-.016,-3.60,+3.08,Manhattan,2024
124,+3.64,70.7,+.081,+0.30,-1.82,Belmont,2025
228,-5.16,67.8,-.035,-1.55,-0.16,UT Arlington,2025
198,-2.85,67.4,-.091,-2.09,+11.59,Central Michigan,2025
127,+3.92,69.2,+.064,+10.51,+6.00,Arizona St.,2024
,,,,,,McNeese St.,2025
166,-0.13,72.9,+.078,-3.89,-3.67,Winthrop,2025
40,+15.39,66.7,-.018,+7.60,-8.75,Providence,2023
250,-6.29,65.8,-.018,-1.28,+1.05,Northeastern,2024
263,-8.12,70.4,-.049,-7.57,-2.88,Sacred Heart,2025
274,-8.34,73.2,-.079,-4.85,-7.12,UMBC,2024
160,+0.24,65.1,+.069,-1.22,+3.73,James Madison,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
34,+15.60,67.6,-.074,+11.80,+0.26,Oklahoma St.,2022
189,-2.28,66.1,-.063,-2.23,+4.83,Montana St.,2025
80,+10.70,66.3,+.001,+13.51,+7.01,Providence,2021
261,-7.86,64.9,+.000,-4.72,-1.23,Fairfield,2023
40,+17.95,68.8,-.004,+14.90,-5.33,Oklahoma,2025
353,-18.97,70.5,-.020,-8.30,-0.09,Houston Christian,2023
127,+3.92,69.2,+.064,+10.51,+6.00,Arizona St.,2024
272,-9.06,65.0,-.006,-2.16,+5.12,Houston Christian,2025
98,+6.90,64.9,-.046,+7.42,-0.23,Notre Dame,2025
358,-22.84,68.4,-.014,-0.13,-5.22,Pacific,2024
234,-5.43,66.3,+.101,-3.56,+9.64,Nicholls St.,2024
275,-9.20,67.7,+.018,-7.57,-4.73,Albany,2025
221,-4.66,69.6,+.036,-1.41,+0.87,Abilene Christian,2025
31,+20.33,70.7,-.030,+12.57,+13.40,North Carolina,2025
132,+2.92,66.2,-.000,+0.07,-1.56,Illinois St.,2025
188,-2.26,65.5,-.084,-2.13,-7.85,Rice,2025
282,-10.21,66.2,+.033,-3.88,-2.88,Old Dominion,2025
319,-13.56,65.9,-.062,-4.65,-5.78,William & Mary,2024
176,-0.66,66.1,-.037,+5.30,+13.13,UNLV,2021
43,+14.63,66.3,+.049,+11.25,-6.84,Iowa St.,2022
145,+1.79,66.7,-.137,+9.94,-1.29,Missouri,2024
16,+19.68,66.5,+.021,+12.33,+1.31,Baylor,2023
76,+10.50,69.1,-.063,+10.61,-9.60,Utah,2025
6,+26.55,72.2,-.047,+11.12,+10.47,Arizona,2024
135,+2.89,68.6,-.012,+10.45,+1.82,DePaul,2023
244,-6.42,68.8,-.021,-7.52,-3.94,UMass Lowell,2025
,,,,,,Nicholls St.,2025
101,+6.29,71.4,+.060,-3.03,-3.52,Grand Canyon,2025
291,-10.83,64.6,+.066,-2.16,+6.69,Austin Peay,2022
162,-0.10,67.7,+.000,+1.87,+7.07,Utah Valley,2024
155,+0.39,67.4,+.062,+2.47,-0.41,Loyola Marymount,2025
231,-5.44,68.7,+.053,-7.80,+11.88,Southern,2025
258,-7.90,71.3,-.014,-2.36,-1.96,Mercer,2025
21,+18.51,70.1,+.035,+10.35,-3.05,Kansas St.,2023
88,+8.72,68.2,-.062,+14.03,-7.01,LSU,2025
308,-12.56,64.3,-.071,+0.53,+1.95,Long Beach St.,2025
220,-4.61,66.1,-.058,-4.29,-4.13,Campbell,2025
151,+1.14,65.7,+.027,+5.91,-6.56,LSU,2023
189,-2.45,65.0,-.002,+1.08,-6.50,East Carolina,2024
52,+15.12,59.4,+.021,+1.23,-2.74,Drake,2025
278,-8.54,66.9,+.026,-3.10,+5.19,Canisius,2024
63,+13.50,66.5,-.068,+8.60,+3.76,Pittsburgh,2025
238,-5.55,70.5,-.013,-0.24,+1.92,Marshall,2024
140,+2.16,65.4,-.127,+1.44,-2.11,Duquesne,2025
240,-6.24,74.9,+.101,-3.45,-3.98,South Dakota,2025
208,-3.92,68.6,+.071,+2.14,-6.06,Evansville,2024
295,-10.15,64.6,+.050,-1.08,-1.34,Chicago St.,2024
1,+39.29,66.0,-.026,+11.51,+9.46,Duke,2025
314,-13.27,70.2,-.000,-6.75,+1.93,Howard,2025
197,-2.85,72.4,-.044,+0.30,-4.09,Indiana St.,2025
12,+26.57,68.0,-.047,+14.53,+0.01,Wisconsin,2025
105,+6.20,67.8,+.075,+7.96,+0.04,Florida St.,2022
43,+17.19,69.2,-.016,+10.29,-1.10,Xavier,2025
17,+24.32,71.5,-.022,+17.14,+3.60,Illinois,2025
134,+2.82,65.1,-.037,+2.25,+1.68,New Mexico St.,2025
250,-6.98,67.2,+.070,-0.01,+1.74,UC Davis,2025
306,-11.52,64.9,+.041,-5.23,+6.82,Southeastern Louisiana,2024
53,+14.53,68.0,+.051,+2.95,-1.34,Drake,2024
330,-15.03,67.5,-.006,+0.10,+7.60,Oral Roberts,2025
95,+8.26,69.9,-.019,+8.85,-1.46,LSU,2024
59,+14.34,69.2,-.066,+3.72,+3.65,Santa Clara,2025
252,-7.21,70.6,-.068,-8.44,-0.13,Tennessee St.,2025
254,-6.73,70.6,-.001,-0.01,-7.12,UTSA,2024
66,+12.15,68.1,+.040,+3.40,-1.18,San Francisco,2025
112,+4.25,68.4,+.077,-1.54,+0.62,Utah Valley,2025
92,+8.01,68.3,+.035,-3.50,-2.32,Furman,2023
124,+3.64,70.7,+.081,+0.30,-1.82,Belmont,2025
90,+9.07,64.9,+.040,+3.07,+5.01,Yale,2024
341,-17.83,69.4,-.016,+1.43,+10.75,New Orleans,2025
120,+3.86,70.8,+.062,+4.34,+2.66,Washington St.,2025
149,+1.61,67.9,+.022,+2.36,-3.32,Missouri St.,2024
262,-8.07,69.2,+.013,-3.21,-1.77,Georgia St.,2025
151,+0.62,63.0,+.059,-2.13,+1.51,Radford,2025
25,+17.07,65.4,-.003,+5.95,+2.56,San Diego St.,2022
4,+27.99,70.0,-.080,+9.49,+1.47,Auburn,2024
201,-2.06,65.5,-.032,-1.32,-3.90,St. Bonaventure,2023
181,-2.00,66.9,+.018,+5.19,-6.70,Boston College,2025
31,+17.32,66.8,+.034,+10.24,-2.63,Texas Tech,2024
156,+0.89,62.1,-.021,-1.48,+1.21,Missouri St.,2023
123,+3.82,64.8,+.047,+0.84,-4.46,St. Bonaventure,2025
10,+27.07,69.6,-.028,+12.51,-10.46,Maryland,2025
115,+4.22,68.4,+.026,+8.42,+2.58,Syracuse,2025
156,+0.37,70.0,-.015,-3.18,+0.94,Purdue Fort Wayne,2025
21,+23.45,70.1,+.072,+16.57,+3.95,Michigan,2025
89,+8.55,66.2,-.013,-4.15,+4.22,Lipscomb,2025
325,-14.89,67.5,-.093,-5.47,+2.72,Northwestern St.,2024
240,-6.24,74.9,+.101,-3.45,-3.98,South Dakota,2025
185,-1.13,66.2,+.006,-3.00,+0.98,Florida Gulf Coast,2023
82,+9.15,66.5,+.015,-4.82,-5.75,High Point,2025
239,-6.08,64.0,-.104,+1.18,-0.13,Missouri St.,2025
338,-16.99,70.6,+.011,+0.15,+6.90,Western Carolina,2025
177,-0.64,64.8,+.099,-0.90,-1.77,Old Dominion,2023
204,-3.42,64.7,-.042,+10.00,-2.90,Seton Hall,2025
357,-21.97,70.4,-.062,-5.29,+11.16,Prairie View A&M,2025
5,+30.93,63.7,+.029,+16.80,-1.04,Tennessee,2025
25,+18.77,67.4,-.042,+10.91,-3.13,Texas,2024
338,-16.99,70.6,+.011,+0.15,+6.90,Western Carolina,2025
37,+15.85,66.2,+.006,+6.85,+0.93,Boise St.,2023
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
223,-4.65,69.0,-.009,-3.58,+0.08,Montana St.,2024
81,+9.26,66.3,+.029,+5.38,-4.04,Stanford,2025
214,-3.22,63.6,+.015,+6.59,-7.14,Oregon St.,2023
169,-0.45,66.7,-.003,+4.39,-3.49,San Jose St.,2025
180,-0.89,69.1,+.045,-1.91,-6.58,Portland,2022
238,-5.64,66.2,-.041,-6.01,-2.05,Robert Morris,2023
39,+18.25,65.8,-.005,-1.44,-2.19,UC San Diego,2025
271,-8.98,67.6,+.055,-2.17,+1.23,Stephen F. Austin,2025
48,+16.23,69.5,+.010,+13.38,-6.82,Vanderbilt,2025
,,,,,,St. Francis PA,2024
268,-8.63,67.3,+.028,-1.92,+2.37,Monmouth,2025
